GSA_accession,SRA_accession
CRR300844,SRR11313282
CRR300843,SRR11313334
CRR300845,SRR11313271
CRR300846,SRR11313461
CRR300850,SRR11313417
CRR300849,SRR11313428
CRR300854,SRR11313479
CRR300853,SRR11313490
CRR300860,SRR11313345
CRR300859,SRR11313356
CRR300896,SRR11313455
CRR300895,SRR11313456
CRR300842,SRR11313473
CRR300841,SRR11313474
CRR300898,SRR11313453
CRR300897,SRR11313454
CRR300900,SRR11313451
CRR300899,SRR11313452
CRR300902,SRR11313448
CRR300901,SRR11313449
CRR300862,SRR11313322
CRR300861,SRR11313333
CRR300905,SRR11313445
CRR300904,SRR11313446
CRR300866,SRR11313287
CRR300865,SRR11313289
CRR300868,SRR11313285
CRR300867,SRR11313286
CRR300909,SRR11313441
CRR300908,SRR11313442
CRR300864,SRR11313300
CRR300863,SRR11313311
CRR300907,SRR11313443
CRR300906,SRR11313444
CRR300913,SRR11313436
CRR300912,SRR11313437
CRR300911,SRR11313438
CRR300910,SRR11313440
CRR300872,SRR11313280
CRR300871,SRR11313281
CRR300876,SRR11313276
CRR300875,SRR11313277
CRR300919,SRR11313430
CRR300918,SRR11313431
CRR300878,SRR11313274
CRR300877,SRR11313275
CRR300921,SRR11313427
CRR300920,SRR11313429
CRR300915,SRR11313434
CRR300914,SRR11313435
CRR300917,SRR11313432
CRR300916,SRR11313433
CRR300881,SRR11313270
CRR300882,SRR11313470
CRR300925,SRR11313423
CRR300924,SRR11313424
CRR300923,SRR11313425
CRR300922,SRR11313426
CRR300884,SRR11313468
CRR300883,SRR11313469
CRR300927,SRR11313421
CRR300926,SRR11313422
CRR300929,SRR11313419
CRR300928,SRR11313420
CRR300888,SRR11313464
CRR300887,SRR11313465
CRR300886,SRR11313466
CRR300885,SRR11313467
CRR300938,SRR11313409
CRR300937,SRR11313410
CRR300940,SRR11313406
CRR300939,SRR11313408
CRR300942,SRR11313269
CRR300941,SRR11313471
CRR300943,SRR11313509
CRR300945,SRR11313507
CRR300944,SRR11313508
CRR300947,SRR11313505
CRR300946,SRR11313506
CRR300949,SRR11313503
CRR300948,SRR11313504
CRR300951,SRR11313500
CRR300950,SRR11313502
CRR300953,SRR11313498
CRR300952,SRR11313499
CRR300955,SRR11313496
CRR300954,SRR11313497
CRR300957,SRR11313494
CRR300956,SRR11313495
CRR300959,SRR11313492
CRR300958,SRR11313493
CRR300961,SRR11313489
CRR300960,SRR11313491
CRR300963,SRR11313487
CRR300962,SRR11313488
CRR300965,SRR11313485
CRR300964,SRR11313486
CRR300967,SRR11313483
CRR300966,SRR11313484
CRR301042,SRR11313331
CRR301043,SRR11313330
CRR301044,SRR11313329
CRR301040,SRR11313335
CRR301041,SRR11313332
CRR301047,SRR11313326
CRR301048,SRR11313325
CRR301049,SRR11313324
CRR301045,SRR11313328
CRR301046,SRR11313327
CRR301052,SRR11313320
CRR301053,SRR11313319
CRR301054,SRR11313318
CRR301050,SRR11313323
CRR301051,SRR11313321
CRR301057,SRR11313315
CRR301058,SRR11313314
CRR301059,SRR11313313
CRR301055,SRR11313317
CRR301056,SRR11313316
CRR301062,SRR11313309
CRR301063,SRR11313308
CRR301064,SRR11313307
CRR301060,SRR11313312
CRR301061,SRR11313310
CRR301067,SRR11313304
CRR301068,SRR11313303
CRR301069,SRR11313302
CRR301065,SRR11313306
CRR301066,SRR11313305
CRR301072,SRR11313298
CRR301073,SRR11313297
CRR301074,SRR11313296
CRR301070,SRR11313301
CRR301071,SRR11313299
CRR301077,SRR11313293
CRR301078,SRR11313292
CRR301079,SRR11313291
CRR301075,SRR11313295
CRR301076,SRR11313294
